date,date_id,year,month,day
2003-08-26,3351,2003,8,26
2010-04-01,3352,2010,4,1
2012-02-03,3353,2012,2,3
2016-01-10,3354,2016,1,10
1988-09-23,3355,1988,9,23
2018-08-27,3356,2018,8,27
2019-08-07,3357,2019,8,7
2018-11-26,3358,2018,11,26
2022-11-14,3359,2022,11,14
2004-07-01,3360,2004,7,1
2021-12-17,3361,2021,12,17
2019-01-01,3362,2019,1,1
2002-03-14,3363,2002,3,14
2019-03-10,3364,2019,3,10
2007-07-22,3365,2007,7,22
2013-03-08,3366,2013,3,8
2018-05-06,3367,2018,5,6
2014-03-06,3368,2014,3,6
2023-08-04,3369,2023,8,4
1985-09-30,3370,1985,9,30
1967-09-11,3371,1967,9,11
2016-03-28,3372,2016,3,28
2003-03-31,3373,2003,3,31
2022-01-21,3374,2022,1,21
2015-06-23,3375,2015,6,23
2009-01-19,3376,2009,1,19
2017-06-12,3377,2017,6,12
2013-06-05,3378,2013,6,5
1995-04-07,3379,1995,4,7
2005-11-01,3380,2005,11,1
2019-03-01,3381,2019,3,1
2018-03-13,3382,2018,3,13
2008-03-05,3383,2008,3,5
2010-08-11,3384,2010,8,11
2022-03-29,3385,2022,3,29
2005-05-08,3386,2005,5,8
1990-04-12,3387,1990,4,12
2005-11-13,3388,2005,11,13
2009-01-11,3389,2009,1,11
1979-09-09,3390,1979,9,9
2016-10-04,3391,2016,10,4
2020-08-12,3392,2020,8,12
2021-01-26,3393,2021,1,26
1972-09-16,3394,1972,9,16
2000-05-07,3395,2000,5,7
2012-04-10,3396,2012,4,10
1957-09-13,3397,1957,9,13
1996-09-02,3398,1996,9,2
2019-01-20,3399,2019,1,20
1979-12-25,3400,1979,12,25
1976-02-20,3401,1976,2,20
2011-07-17,3402,2011,7,17
2011-01-03,3403,2011,1,3
1962-09-20,3404,1962,9,20
2004-10-17,3405,2004,10,17
1970-02-17,3406,1970,2,17
2017-12-11,3407,2017,12,11
1993-09-05,3408,1993,9,5
2004-10-24,3409,2004,10,24
2022-08-12,3410,2022,8,12
2018-02-05,3411,2018,2,5
2023-06-22,3412,2023,6,22
1980-03-22,3413,1980,3,22
2019-01-10,3414,2019,1,10
2017-09-21,3415,2017,9,21
2017-11-05,3416,2017,11,5
2022-11-29,3417,2022,11,29
2019-07-11,3418,2019,7,11
2013-07-24,3419,2013,7,24
2001-09-13,3420,2001,9,13
1974-09-05,3421,1974,9,5
2013-04-02,3422,2013,4,2
2023-09-08,3423,2023,9,8
2000-06-09,3424,2000,6,9
1952-09-19,3425,1952,9,19
2005-12-31,3426,2005,12,31
2014-06-10,3427,2014,6,10
2022-09-22,3428,2022,9,22
1998-10-24,3429,1998,10,24
2022-07-27,3430,2022,7,27
2012-01-29,3431,2012,1,29
2016-09-25,3432,2016,9,25
2006-10-16,3433,2006,10,16
1997-09-01,3434,1997,9,1
2012-07-30,3435,2012,7,30
1977-09-13,3436,1977,9,13
2016-10-23,3437,2016,10,23
2016-05-05,3438,2016,5,5
2009-08-17,3439,2009,8,17
1982-10-02,3440,1982,10,2
2010-10-04,3441,2010,10,4
1976-08-31,3442,1976,8,31
2010-06-26,3443,2010,6,26
1985-09-18,3444,1985,9,18
2017-01-14,3445,2017,1,14
2003-01-15,3446,2003,1,15
1995-05-28,3447,1995,5,28
1998-09-14,3448,1998,9,14
2015-11-27,3449,2015,11,27
2002-08-05,3450,2002,8,5
2007-10-25,3451,2007,10,25
2023-01-03,3452,2023,1,3
