number_of_seasons,number_of_episodes,episode_run_time,in_production,show_attributes_id
2,79,30,False,925
1,90,45,False,926
2,14,27,False,927
1,64,23,False,928
3,24,25,True,929
3,78,22,False,930
1,175,45,False,931
49,951,67,True,932
2,11,0,True,933
1,15,60,False,934
3,68,21,False,935
2,15,8,True,936
3,37,30,False,937
5,43,60,False,938
4,80,24,False,939
1,10,24,False,940
4,64,24,False,941
1,17,64,False,942
4,73,42,False,943
4,49,30,False,944
5,130,12,False,945
5,99,43,False,946
3,15,0,False,947
7,107,3,False,948
5,111,42,False,949
2,80,90,False,950
1,194,0,False,951
8,201,24,False,952
3,93,12,False,953
3,52,22,False,954
5,89,22,False,955
1,115,45,False,956
7,160,20,False,957
2,24,54,False,958
1,7,65,False,959
7,65,30,False,960
1,69,0,False,961
2,46,11,False,962
1,162,0,False,963
2,60,130,False,964
3,39,22,False,965
1,92,30,False,966
1,91,50,False,967
45,656,42,True,968
1,151,45,False,969
1,18,75,False,970
1,5,30,False,971
3,132,11,False,972
1,60,24,False,973
5,138,25,False,974
4,62,25,False,975
1,35,23,False,976
1,63,45,False,977
1,6,42,False,978
1,8,30,False,979
1,58,60,False,980
8,218,11,False,981
2,318,60,False,982
2,24,27,True,983
1,92,45,False,984
2,10,42,False,985
6,119,48,False,986
7,156,44,False,987
6,95,21,False,988
12,73,30,False,989
3,36,24,False,990
6,118,45,False,991
2,26,25,False,992
1,13,21,False,993
7,165,30,True,994
6,125,43,False,995
3,25,3,False,996
2,230,5,False,997
3,56,45,True,998
5,53,50,False,999
2,12,36,True,1000
2,86,22,False,1001
2,104,11,False,1002
2,136,45,False,1003
3,41,28,False,1004
1,16,55,False,1005
4,95,22,False,1006
2,64,30,False,1007
2,13,24,True,1008
3,60,30,False,1009
3,57,21,False,1010
7,363,23,False,1011
1,10,88,False,1012
2,52,25,False,1013
1,50,24,False,1014
1,140,45,False,1015
3,34,25,True,1016
1,18,41,False,1017
10,241,30,True,1018
16,136,40,False,1019
1,8,59,False,1020
4,32,55,False,1021
6,36,60,False,1022
5,96,43,True,1023
1,20,42,False,1024
1,221,0,False,1025
6,62,28,False,1026
12,264,45,False,1027
1,20,72,False,1028
1,50,25,True,1029
1,4,21,False,1030
3,154,7,True,1031
6,60,42,False,1032
3,28,22,False,1033
8,162,45,False,1034
4,189,25,False,1035
5,44,26,False,1036
4,46,60,False,1037
1,10,44,False,1038
3,30,35,False,1039
1,4,56,False,1040
1,25,50,False,1041
5,77,42,False,1042
1,61,40,True,1043
1,6,45,False,1044
2,12,44,False,1045
8,76,45,False,1046
1,8,54,False,1047
3,26,32,True,1048
1,3,85,False,1049
9,54,25,False,1050
2,20,0,False,1051
2,24,22,False,1052
5,24,25,True,1053
1,206,42,False,1054
2,46,22,False,1055
1,10,30,False,1056
8,579,7,False,1057
2,20,29,True,1058
2,20,55,False,1059
1,8,27,False,1060
1,30,24,False,1061
3,46,11,False,1062
1,6,25,False,1063
2,48,25,False,1064
3,86,22,False,1065
1,3,157,False,1066
2,26,24,False,1067
10,227,0,False,1068
2,130,22,False,1069
4,55,22,False,1070
1,3,15,False,1071
1,216,45,False,1072
1,10,47,False,1073
1,12,15,False,1074
5,66,46,False,1075
1,51,25,False,1076
2,120,0,False,1077
10,231,23,False,1078
1,123,45,False,1079
3,30,54,False,1080
1,22,26,False,1081
10,195,42,False,1082
2,13,45,False,1083
2,18,11,False,1084
2,22,30,False,1085
2,18,45,False,1086
3,19,48,True,1087
3,78,25,False,1088
2,12,40,True,1089
1,22,60,False,1090
7,180,24,False,1091
10,229,22,False,1092
2,65,22,False,1093
4,123,0,False,1094
